t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_cor_u,max_filter,2.8, maximum height of the boom on tripod AWS,
,,t_i_.*($),min_filter,-10.0,,
,,gps_alt,min_filter,580.0,manually adjusted by bav,
,,gps_lon,min_filter,46.0,manually adjusted by bav,
,,gps_lat,max_filter,70.0,manually adjusted by bav,
2017-08-01T14:00:00+00:00,,z_surf_2,add,-2.0,manually adjusted by bav,
2018-08-31T14:00:00+00:00,,z_surf_2,add,-2.5,manually adjusted by bav,
2018-08-31T14:00:00+00:00,,z_ice_surf,add,-5.3,manually adjusted by bav,
2019-08-29T16:00:00+00:00,,z_ice_surf,add,-1.4,manually adjusted by bav,
2021-08-31T15:00:00+00:00,,z_ice_surf,add,-18.7,manually adjusted by bav,
2022-09-01T15:00:00+00:00,,z_ice_surf,add,5.0,manually adjusted by bav,
