t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,t_i_.*($),min_filter,-30.0,,
,,z_boom_u,max_filter,5,,
,2022-10-01T00:00:00+00:00,z_boom_u,min_filter,2,,
2023-06-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,z_boom_u,min_filter,2,,

2022-10-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,z_surf_1,add,-0.3,manually adjusted by bav,
2022-10-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,z_surf_2,add,0.3,manually adjusted by bav,

2023-06-01T00:00:00+00:00,,z_surf_1,add,2.5,mast raise (bav),
2023-06-01T00:00:00+00:00,,z_surf_2,add,2.5,mast raise (bav),
2024-05-01T00:00:00+00:00,,z_surf_1,add,1.5,mast raise (bav),
2024-05-01T00:00:00+00:00,,z_surf_2,add,1.5,mast raise (bav),
2025-05-20T11:00:00+00:00,,z_surf_1,add,2.2,mast raise (bav),
2025-05-20T11:00:00+00:00,,z_surf_2,add,2.2,mast raise (bav),

2022-02-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,t_u,max_filter,-20.7,,
2022-05-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,rh_l,min_filter,50,,
2022-04-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,t_l,max_filter,-2.2,,
2022-05-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,t_l,min_filter,-40,,
