t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS,

,,t_i_.*($),min_filter,-30.0,,
,,gps_alt,min_filter,500.0,,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/159
,,gps_lat,min_filter,65.2,,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/159
,,gps_lon,min_filter,38.8651,,https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/159

2010-08-07T00:00:00+00:00,,z_ice_surf,add,-8.07,manually adjusted by bav,
2011-07-22T00:00:00+00:00,,z_ice_surf,add,-1.558,manually adjusted by bav,
2012-05-05T00:00:00+00:00,,z_ice_surf,add,-5.3,manually adjusted by bav,
2012-12-07T00:00:00+00:00,,z_ice_surf,add,-0.8,manually adjusted by bav,
2014-05-18T00:00:00+00:00,2014-08-04T00:00:00+00:00,z_ice_surf,add,1.27,manually adjusted by bav,


2012-05-15T00:00:00+00:00,,z_surf_2,add,-2.6,manually adjusted by bav,
2014-08-03T17:00:00+00:00,,z_surf_2,add,-2,manually adjusted by bav,

2014-08-03T17:00:00+00:00,,z_surf_1,add,-0.6,manually adjusted by bav,
2012-05-15T00:00:00+00:00,,z_surf_1,add,-2.6,manually adjusted by bav,
