t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_cor_u,max_filter,3.3, maximum height of the boom on tripod AWS,
,,z_stake_cor,max_filter,4, maximum height of stake,

2018-03-01T00:00:00+00:00,,z_boom_cor_u,min_filter,1.8, removing reflector (bav),
2022-09-09T12:00:00+00:00,2022-09-25T12:00:00+00:00,z_boom_cor_u,max_filter,2.955, filtering noise (bav),

2023-04-29T12:00:00+00:00,,z_surf_1,add,0.3, adjusting to ensure continuity before/after fieldwork (bav),

2022-04-19T12:00:00+00:00,,z_surf_2,add,-0.65, adjusting to match station SR50 (bav),
2023-04-29T12:00:00+00:00,,z_surf_2,add,-0.6, adjusting to ensure continuity before/after fieldwork (bav),
2024-04-25T12:00:00+00:00,,z_surf_2,add,-1.8, ,
2025-04-28T23:00:00+00:00,,z_surf_2,add,-1, adjusting to ensure continuity before/after fieldwork (bav),
