t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,t_i_.*($),min_filter,-30.0,outlier removal (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/144
,,z_boom_l,min_filter,1.3, outlier removal (bav),
,,z_boom_l,max_filter,3.75, outlier removal (bav),
,,z_boom_u,min_filter,2.65, outlier removal (bav),
,,z_boom_u,max_filter,5, outlier removal (bav),
2025-12-14T00:00:00+00:00,,t_i_1,max_filter,-10.0,outlier removal (bav),
2025-12-14T00:00:00+00:00,,t_i_3,max_filter,-10.0,outlier removal (bav),
2025-12-14T00:00:00+00:00,,t_i_5,max_filter,-10.0,outlier removal (bav),
,,t_i_3,min_filter,-22.0,outlier removal (bav),
,,t_i_4,min_filter,-22.0,outlier removal (bav),
,,t_i_5,min_filter,-20.0,outlier removal (bav),
,,t_i_6,min_filter,-20.0,outlier removal (bav),
,,t_i_7,min_filter,-20.0,outlier removal (bav),
,,t_i_8,min_filter,-20.0,outlier removal (bav),
,,t_i_9,min_filter,-20.0,outlier removal (bav),
,,t_i_9,max_filter,-7.0,outlier removal (bav),
,,t_i_10,min_filter,-20.0,outlier removal (bav),
,,t_i_10,max_filter,-7.0,outlier removal (bav),
,,t_i_11,min_filter,-20.0,outlier removal (bav),
,,t_i_11,max_filter,-7.0,outlier removal (bav),
,,tilt_y,min_filter,-5.0,outlier removal (bav),
,,tilt_x,max_filter,5.0,outlier removal (bav),
2023-06-14T17:00:00+00:00,,z_surf_1,add,1.5,mast raise (bav),
2023-06-14T17:00:00+00:00,,z_surf_2,add,1.5,mast raise (bav),
2025-05-12T19:00:00+00:00,,z_surf_1,add,1.25,mast raise (bav),
2025-05-12T19:00:00+00:00,,z_surf_2,add,1.3,mast raise (bav),
