t0, t1, variable, adjust_function, adjust_value, comment, URL_graphic
2056-01-01T00:00:00+00:00, , *, time_shift, -12361.479166666666, manually adjusted by bav, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/22
,,t_i_.*($),min_filter,-30.0,,

2026-05-01T00:00:00+00:00,2026-07-17T00:00:00+00:00,z_stake,max_filter,2.67,flagged by bav,
2026-05-01T00:00:00+00:00,2026-06-20T00:00:00+00:00,z_stake,max_filter,2.4,flagged by bav,
2026-06-25T00:00:00+00:00,2026-07-20T00:00:00+00:00,z_stake,min_filter,2.4,flagged by bav,

2026-05-01T00:00:00+00:00,,z_surf_2,add,1,flagged by bav,

#,2022-05-22T00:00:00+00:00,z_surf_2,min_filter,0.36,flagged by bav,
