t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS,
2016-06-26T00:00:00+00:00,2021-09-01T00:00:00+00:00,z_pt_cor,min_filter,10,manually adjusted by bav,
2019-09-01T00:00:00+00:00,,z_stake,min_filter,1,manually adjusted by bav,

,,t_i_.*($),min_filter,-30.0,,
,,gps_lon,min_filter,68.1445, manually filtered by bav, 
,,gps_lat,max_filter,76.42, manually filtered by bav, 

2014-09-15T12:00:00+00:00,,z_ice_surf,add,0.9,manually adjusted by bav,
2016-07-21T12:00:00+00:00,,z_ice_surf,add,2.3,manually adjusted by bav,
2021-09-13T10:00:00+00:00,2021-09-14T12:00:00+00:00,z_ice_surf,add,-3,manually adjusted by bav,
2021-09-14T12:00:00+00:00,,z_ice_surf,add,5.7,manually adjusted by bav,

2016-07-21T12:00:00+00:00,,z_surf_2,add,-0.4,manually adjusted by bav,
2019-05-03T12:00:00+00:00,,z_surf_2,add,0.4,manually adjusted by bav,
