t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_u,max_filter,2.8, maximum height of the boom on tripod AWS,
,2014-01-01T00:00:00+00:00,gps_alt,min_filter,400, removing noise (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/154
,,gps_alt,max_filter,750, removing noise (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/154
,,gps_lon,min_filter,49.52, removing noise (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/154
,,gps_lat,max_filter,66, removing noise (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/154

2008-07-30T00:00:00+00:00,,z_ice_surf,add,-7.1,manually adjusted by bav,
2008-07-29T00:00:00+00:00,,z_ice_surf,add,-5.0,manually adjusted by bav,
2009-08-24T00:00:00+00:00,,z_ice_surf,add,-0.5,manually adjusted by bav,
2010-07-25T00:00:00+00:00,,z_ice_surf,add,-11.1,manually adjusted by bav,
2010-11-21T12:00:00+00:00,,z_ice_surf,add,2.6,manually adjusted by bav,
2011-07-28T00:00:00+00:00,,z_ice_surf,add,-1.15,manually adjusted by bav,
2011-08-26T00:00:00+00:00,,z_ice_surf,add,-1.2,manually adjusted by bav,
2011-08-29T00:00:00+00:00,,z_ice_surf,add,1.0,manually adjusted by bav,
2012-08-28T00:00:00+00:00,,z_ice_surf,add,-12.0,manually adjusted by bav,
2013-01-24T00:00:00+00:00,,z_ice_surf,add,2.6,manually adjusted by bav,
2013-07-23T00:00:00+00:00,,z_ice_surf,add,-5.25,manually adjusted by bav,
2014-07-25T00:00:00+00:00,,z_ice_surf,add,-2.5,manually adjusted by bav,
2014-07-26T00:00:00+00:00,,z_ice_surf,add,-3.35,manually adjusted by bav,
2017-04-27T00:00:00+00:00,,z_ice_surf,add,-14.92,manually adjusted by bav,
2017-05-22T00:00:00+00:00,,z_ice_surf,add,-0.5,manually adjusted by bav,
2018-07-30T11:00:00+00:00,,z_ice_surf,add,-7.0,manually adjusted by bav,
2021-06-18T11:00:00+00:00,,z_ice_surf,add,-14.0,manually adjusted by bav,
2023-09-18T16:00:00+00:00,,z_ice_surf,add,-14.8,manually adjusted by bav,

2008-07-31T00:00:00+00:00,,z_surf_2,add,-3.0,manually adjusted by bav,
2009-08-24T00:00:00+00:00,,z_surf_2,add,-3.4,manually adjusted by bav,
2010-07-24T00:00:00+00:00,,z_surf_2,add,-2.5,manually adjusted by bav,
2012-08-22T00:00:00+00:00,,z_surf_2,add,-15,manually adjusted by bav,
2013-07-17T00:00:00+00:00,,z_surf_2,add,-2.0,manually adjusted by bav,
2014-07-25T00:00:00+00:00,,z_surf_2,add,-2.0,manually adjusted by bav,
2015-07-18T00:00:00+00:00,,z_surf_2,add,-4.0,manually adjusted by bav,
2017-04-26T00:00:00+00:00,,z_surf_2,add,-6.0,manually adjusted by bav,
2017-07-04T00:00:00+00:00,,z_surf_2,add,1.8,manually adjusted by bav,
2017-11-25T00:00:00+00:00,,z_surf_2,add,-3.0,manually adjusted by bav,
2019-09-17T00:00:00+00:00,,z_surf_2,add,-4.0,manually adjusted by bav,
2023-09-09T00:00:00+00:00,,z_surf_2,add,-5.0,manually adjusted by bav,
