t0,t1,variable,adjust_function,adjust_value,comment,URL_graphic
,,z_boom_cor_u,max_filter,2.8, maximum height of the boom on tripod AWS,
,,t_i_.*($),min_filter,-30.0,,
,,gps_alt,min_filter,885.0, removing noise (bav),
,,gps_lon,max_filter,49.886, removing noise (bav),
,,gps_lon,min_filter,49.8835, removing noise (bav),
,,gps_lat,max_filter,64.946, removing noise (bav),
,,gps_lat,min_filter,64.945, removing noise (bav),
2011-08-23T00:00:00+00:00,,z_ice_surf,add,-0.5,manually adjusted by bav,
2013-01-01T00:00:00+00:00,,z_ice_surf,add,-8.5,manually adjusted by bav,
2013-10-11T12:00:00+00:00,,z_ice_surf,add,1.0,manually adjusted by bav,
2012-08-28T00:00:00+00:00,,z_surf_2,add,-5.0,manually adjusted by bav,
2013-07-24T15:00:00+00:00,,z_surf_2,add,-1.0,manually adjusted by bav,
