t0, t1, variable, flag, comment, URL_graphic
2023-06-24T10:00:00+00:00, 2024-05-24T16:00:00+00:00, p_l rh_l, NAN, flagged by rabni, https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/52
2024-12-26T00:00:00+00:00, 2024-12-30T07:00:00+00:00, p_l p_i, NAN, flagged by bav, 
2025-02-08T00:00:00+00:00, 2025-02-08T19:00:00+00:00, p_l p_i, NAN, flagged by bav, 
2026-02-26T00:00:00+00:00, 2026-02-28T15:00:00+00:00, p_u p_l p_i, NAN, flagged by bav, 
2023-09-15T00:00:00+00:00, 2024-05-25T00:00:00+00:00,t_i_.*($),NAN,manually flagged by bav,

