t0,t1,variable,flag,comment,URL_graphic
,2022-05-29T19:00:00+00:00,t_i_.*($),NAN,settling in (bav),
2023-10-26T00:00:00+00:00,2024-06-16T19:00:00+00:00,t_i_.*($),NAN,manually flagged by bav,
2023-12-19T00:00:00+00:00,2024-01-10T19:00:00+00:00,p_i p_u p_l,NAN,Suspecious upper and lower luft (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-01-17T00:00:00+00:00,2024-02-18T19:00:00+00:00,p_i p_u p_l,NAN,Suspecious upper and lower luft (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-02-27T00:00:00+00:00,2024-03-02T19:00:00+00:00,p_i p_u p_l,NAN,Suspecious upper and lower luft (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2024-03-15T00:00:00+00:00,2024-03-26T19:00:00+00:00,p_i p_u p_l,NAN,Suspecious upper and lower luft (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140
2023-04-04T00:00:00+00:00,2023-04-13T00:00:00+00:00,p_i p_u p_l,NAN,Suspicious upper and lower luft (maclu),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/140

2022-10-30T00:00:00+00:00,2022-11-01T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-10-20T00:00:00+00:00,2023-10-22T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-11-05T00:00:00+00:00,2023-11-26T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-12-16T00:00:00+00:00,2023-12-18T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-12-21T00:00:00+00:00,2023-12-23T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2023-12-31T00:00:00+00:00,2024-01-06T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2024-01-09T00:00:00+00:00,2024-01-11T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2024-09-26T00:00:00+00:00,2024-10-04T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2024-10-16T00:00:00+00:00,2024-10-19T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2024-10-27T00:00:00+00:00,2024-10-31T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
2025-10-25T00:00:00+00:00,2026-01-26T00:00:00+00:00,dlr ulr dsr usr,RIME,automatically detected as rime-affected (bav),https://github.com/GEUS-Glaciology-and-Climate/PROMICE-AWS-data-issues/issues/61
